author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/291725773/;Москва;sale;flat;4;28;1;36.3;10055100.0;Отрадное;Отрадная ;4А;Отрадное;Малевич
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/306642309/;Москва;sale;flat;4;17;1;34.3;10148783.0;;;;Мичуринец;Переделкино Ближнее Город-парк
EuroDoma;real_estate_agent;https://www.cian.ru/sale/flat/300789035/;Москва;sale;flat;3;12;1;36.0;10200000.0;Бабушкинский; Летчика Бабушкина;29К3;Бабушкинская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307493477/;Москва;sale;flat;4;22;1;39.2;10200000.0;; Картмазовские Пруды;2к2;Филатов Луг;
СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/298213552/;Москва;sale;flat;2;17;1;37.3;10200000.0;Дмитровский;Клязьминская ;5К1;Грачёвская;
ТАНДЕМ;real_estate_agent;https://www.cian.ru/sale/flat/307803056/;Москва;sale;flat;10;16;1;37.7;10200000.0;; Бачуринская;13;Новомосковская;Новая Звезда
ПИК;developer;https://www.cian.ru/sale/flat/306255449/;Москва;sale;flat;2;32;1;36.0;10177919.0;Митино;;2.2;Пятницкое шоссе;Митинский Лес ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/307276451/;Москва;sale;flat;14;16;1;34.3;10166520.0;;;;Тёплый Стан;1-й Ясеневский ЖК
А101;developer;https://www.cian.ru/sale/flat/306747044/;Москва;sale;flat;3;17;1;38.6;10154502.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743113/;Москва;sale;flat;12;16;1;33.3;10191479.0;;;3.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306737395/;Москва;sale;flat;2;11;1;34.1;10209881.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
А101;developer;https://www.cian.ru/sale/flat/306737547/;Москва;sale;flat;3;16;1;37.9;10216907.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
ПИК;developer;https://www.cian.ru/sale/flat/306405082/;Москва;sale;flat;22;23;1;39.0;10189920.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/308023549/;Москва;sale;flat;2;18;1;31.9;10176100.0;;;;;1-й Ясеневский
ПИК;developer;https://www.cian.ru/sale/flat/306255169/;Москва;sale;flat;19;19;1;34.2;10231990.0;Митино;Северо-Западный ао;2.4;Пятницкое шоссе;Митинский Лес ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304057009/;Москва;sale;flat;3;19;1;34.6;10214968.0;;;к2;Филатов Луг;Город-парк Первый Московский
ЛСР;developer;https://www.cian.ru/sale/flat/303896588/;Москва;sale;flat;4;24;1;34.7;10176122.0;Солнцево;Производственная ;;Солнцево;Лучи
1-й ДСК;developer;https://www.cian.ru/sale/flat/306379487/;Москва;sale;flat;2;14;1;29.3;10196400.0;;;1;Саларьево;1-й Саларьевский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305378720/;Москва;sale;flat;29;33;1;32.6;10179936.0;Люблино;14.1;14.1;Братиславская;Люблинский парк ЖК
А101;developer;https://www.cian.ru/sale/flat/306743983/;Москва;sale;flat;8;9;1;37.4;10228399.0;;;2.4;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743020/;Москва;sale;flat;2;13;1;35.4;10171163.0;;;к11.2.1;Прокшино;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306738313/;Москва;sale;flat;3;9;1;32.3;10155023.0;;;25.4;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009445/;Москва;sale;flat;4;16;1;44.43;10167406.0;Молжаниновский;Северный ао;к4;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009571/;Москва;sale;flat;1;15;1;49.29;10194099.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021673/;Москва;sale;flat;8;15;1;40.39;10204134.0;;;14;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010749/;Москва;sale;flat;23;23;1;38.7;10199848.0;;;15;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011107/;Москва;sale;flat;9;16;1;31.2;10249341.0;;;к18-19;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021531/;Москва;sale;flat;13;15;1;46.92;10209278.0;;;16;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017930/;Москва;sale;flat;3;10;1;35.05;10237710.0;;;к19;Рассказовка;Новое Внуково ЖК
ID 12734800;homeowner;https://www.cian.ru/sale/flat/306239142/;Москва;sale;flat;3;5;1;30.7;10200000.0;Южное Тушино; Фабрициуса;48;Сходненская;
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303066354/;Москва;sale;flat;14;14;1;40.1;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
ID 24051896;homeowner;https://www.cian.ru/sale/flat/286173960/;Москва;sale;flat;3;17;1;36.6;10190000.0;; Эдварда Грига;15;Потапово;
;;https://www.cian.ru/sale/flat/299212948/;Москва;sale;flat;16;18;1;31.5;10174500.0;Останкинский;Березовая аллея;19к4;Ботанический сад;Апарт-комплекс Легендарный квартал
;;https://www.cian.ru/sale/flat/299212878/;Москва;sale;flat;15;18;1;33.6;10180800.0;Останкинский;Березовая аллея;19к3;Ботанический сад;Апарт-комплекс Легендарный квартал
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306699090/;Москва;sale;flat;1;12;1;35.4;10300000.0;Тимирязевский;Красностуденческий проезд;5;Тимирязевская;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304578099/;Москва;sale;flat;3;16;1;38.5;10300000.0;Северное Медведково;Широкая ;1К5;Медведково;
ПИК;developer;https://www.cian.ru/sale/flat/306979948/;Москва;sale;flat;21;24;1;43.0;10289426.0;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
3SGroup;developer;https://www.cian.ru/sale/flat/304854219/;Москва;sale;flat;2;17;1;38.6;10285935.0;;;;Корниловская;FOREVILLE
А101;developer;https://www.cian.ru/sale/flat/306737412/;Москва;sale;flat;6;13;1;37.2;10293175.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
INGRAD;developer;https://www.cian.ru/sale/flat/304080152/;Москва;sale;flat;9;22;1;36.2;10286808.0;;;к5;Филатов Луг;Филатов Луг ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/304079914/;Москва;sale;flat;19;22;1;37.4;10295795.0;;;к6;Филатов Луг;Филатов Луг ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305471834/;Москва;sale;flat;3;12;1;31.7;10320410.0;Москворечье-Сабурово;;1.4;Каширская;Москворечье ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306383029/;Москва;sale;flat;4;12;1;31.4;10297315.0;Москворечье-Сабурово;;1.4;Каширская;Москворечье ЖК
;;https://www.cian.ru/sale/flat/298481241/;Москва;sale;flat;7;25;1;39.01;10323997.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377545/;Москва;sale;flat;3;19;1;35.9;10301433.0;Гольяново;;6/8;Черкизовская;2-й Иртышский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207511/;Москва;sale;flat;12;22;1;40.9;10336447.0;;;к4;Рассказовка;Город-парк Первый Московский
;;https://www.cian.ru/sale/flat/307455147/;Москва;sale;flat;6;25;1;38.76;10257834.0;Люблино;Юго-Восточный ао;к26;Перерва;Светлый Мир Станция Л ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207836/;Москва;sale;flat;3;20;1;41.6;10277736.0;;;3;Филатов Луг;Город-парк Первый Московский
ПИК;developer;https://www.cian.ru/sale/flat/306203232/;Москва;sale;flat;11;24;1;37.6;10308416.0;Западное Дегунино;проезд Проектируемый № 7536;;Речной вокзал;Бусиновский парк
ПИК;developer;https://www.cian.ru/sale/flat/306207929/;Москва;sale;flat;2;32;1;36.36;10279553.0;Западное Дегунино;Северный ао;1.4;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306207802/;Москва;sale;flat;2;20;1;35.43;10274133.0;Западное Дегунино;Северный ао;1.3;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307787300/;Москва;sale;flat;25;33;1;34.28;10338025.0;Чертаново Южное;;4;Красный Строитель;Ютаново ЖК
А101;developer;https://www.cian.ru/sale/flat/306738316/;Москва;sale;flat;2;13;1;36.5;10330303.0;;;25.4;Бунинская аллея;Скандинавия ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010916/;Москва;sale;flat;8;12;1;44.51;10315771.0;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021899/;Москва;sale;flat;8;16;1;29.61;10263233.0;Бирюлево Восточное;;к2;Орехово;Квартал Герцена ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307326922/;Москва;sale;flat;1;7;1;36.46;10314790.0;;;к2;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018093/;Москва;sale;flat;4;8;1;36.55;10335518.0;;;к21;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017929/;Москва;sale;flat;5;9;1;35.93;10281555.0;;;к19;Рассказовка;Новое Внуково ЖК
;;https://www.cian.ru/sale/flat/297566677/;Москва;sale;flat;16;18;1;31.9;10303700.0;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
Азбука Жилья;real_estate_agent;https://www.cian.ru/sale/flat/307447499/;Москва;sale;flat;6;25;1;44.18;10390000.0;; Авиаконструктора Петлякова;31;Пыхтино;Солнцево парк
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/307588906/;Москва;sale;flat;4;14;1;35.0;10400000.0;Северное Медведково;Широкая ;3К1;Медведково;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/299008269/;Москва;sale;flat;5;5;1;30.1;10400000.0;Войковский;Ленинградское шоссе;13К2;Войковская;
Октава-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305373495/;Москва;sale;flat;15;16;1;35.7;10390000.0;Отрадное; Римского-Корсакова;10;Отрадное;
МонАрх;developer;https://www.cian.ru/sale/flat/307028798/;Москва;sale;flat;2;30;1;36.8;10410720.0;Черемушки; Наметкина;10Д;Воронцовская;Комплекс апартаментов AIST RESIDENCE
Самолет;developer;https://www.cian.ru/sale/flat/307322467/;Москва;sale;flat;7;11;1;32.8;10375611.0;Молжаниновский;Северный ао;к3;Новоподрезково;Молжаниново ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/306497478/;Москва;sale;flat;4;24;1;36.4;10445817.0;Солнцево;Производственная ;;Солнцево;Лучи
1-й ДСК;developer;https://www.cian.ru/sale/flat/307276557/;Москва;sale;flat;2;16;1;35.9;10367920.0;;;;Тёплый Стан;1-й Ясеневский ЖК
А101;developer;https://www.cian.ru/sale/flat/306746751/;Москва;sale;flat;3;7;1;35.6;10395285.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738555/;Москва;sale;flat;15;17;1;33.4;10414949.0;;;25.2;Бунинская аллея;Скандинавия ЖК
INGRAD;developer;https://www.cian.ru/sale/flat/304079915/;Москва;sale;flat;19;22;1;37.9;10363948.0;;;к6;Филатов Луг;Филатов Луг ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305381071/;Москва;sale;flat;2;12;1;33.2;10411353.0;Москворечье-Сабурово;;1.4;Каширская;Москворечье ЖК
